Company,TypeName,Inches,Ram,Weight,HD_display,cpu_brand,memory,gpu_brand,operating_system,Price
Apple,Ultrabook,13.3,8,1.37,0,Intel Core i5,128.0,Intel,MacOS,71379.0
Apple,Ultrabook,13.3,8,1.34,0,Intel Core i5,128.0,Intel,MacOS,47896.0
HP,Notebook,15.6,8,1.86,1,Intel Core i5,256.0,Intel,MacOS,30636.0
Apple,Ultrabook,15.4,16,1.83,0,Intel Core i7,512.0,AMD,MacOS,135195.0
Apple,Ultrabook,13.3,8,1.37,0,Intel Core i5,256.0,Intel,MacOS,96096.0
Acer,Notebook,15.6,4,2.1,0,AMD,500.0,AMD,Windows,21312.0
Apple,Ultrabook,15.4,16,2.04,0,Intel Core i7,256.0,Intel,MacOS,114018.0
Apple,Ultrabook,13.3,8,1.34,0,Intel Core i5,256.0,Intel,MacOS,61736.0
Asus,Ultrabook,14.0,16,1.3,1,Intel Core i7,512.0,Nvidia,Windows,79654.0
Acer,Ultrabook,14.0,8,1.6,1,Intel Core i5,256.0,Intel,Windows,41026.0
HP,Notebook,15.6,4,1.86,0,Intel Core i5,500.0,Intel,MacOS,20987.0
HP,Notebook,15.6,4,1.86,1,Intel Core i3,500.0,Intel,MacOS,18381.0
Apple,Ultrabook,15.4,16,1.83,0,Intel Core i7,256.0,AMD,MacOS,130002.0
Dell,Notebook,15.6,4,2.2,1,Intel Core i3,256.0,AMD,Windows,26581.0
Apple,Ultrabook,12.0,8,0.92,0,Other Intel processor,256.0,Intel,MacOS,67261.0
Apple,Ultrabook,13.3,8,1.37,0,Intel Core i5,256.0,Intel,MacOS,80908.0
Dell,Notebook,15.6,8,2.2,1,Intel Core i7,256.0,AMD,Windows,39694.0
Apple,Ultrabook,15.4,16,1.83,0,Intel Core i7,512.0,AMD,MacOS,152274.0
Lenovo,Notebook,15.6,8,2.2,1,Intel Core i3,1000.0,Nvidia,MacOS,26587.0
Dell,Ultrabook,13.3,8,1.22,1,Intel Core i5,128.0,Intel,Windows,52161.0
Asus,Notebook,11.6,2,0.98,0,Other Intel processor,32.0,Intel,Windows,10224.0
Lenovo,Gaming,15.6,8,2.5,1,Intel Core i5,128.0,Nvidia,Windows,53227.0
HP,Notebook,15.6,4,1.86,0,AMD,500.0,AMD,MacOS,13746.0
Dell,2 in 1 Convertible,13.3,8,1.62,1,Intel Core i5,256.0,Intel,Windows,43636.0
HP,Ultrabook,15.6,8,1.91,1,Intel Core i7,256.0,Intel,Windows,35112.0
Dell,Notebook,15.6,4,2.3,0,Intel Core i3,1000.0,Intel,Windows,22305.0
Apple,Ultrabook,13.3,8,1.35,0,Intel Core i5,128.0,Intel,MacOS,58555.0
Dell,Notebook,15.6,8,2.2,1,Intel Core i5,256.0,AMD,Windows,42624.0
Dell,Ultrabook,15.6,8,1.88,1,Intel Core i7,256.0,Intel,Windows,69157.0
HP,Notebook,17.3,8,2.5,1,Intel Core i5,1000.0,Nvidia,Windows,47739.0
Chuwi,Notebook,15.6,4,1.89,1,Other Intel processor,64.0,Intel,Windows,13053.0
Asus,Notebook,14.0,2,1.65,0,AMD,32.0,AMD,Windows,10603.0
HP,Notebook,17.3,4,2.71,1,AMD,500.0,AMD,Windows,23390.0
Dell,Ultrabook,13.3,16,1.2,1,Intel Core i7,512.0,Intel,Windows,99580.0
Apple,Ultrabook,13.3,8,1.35,0,Intel Core i5,256.0,Intel,MacOS,53173.0
Lenovo,Notebook,14.0,4,1.44,0,Other Intel processor,64.0,Intel,Windows,13267.0
Acer,Notebook,15.6,4,2.1,0,Intel Core i3,1000.0,Intel,MacOS,19554.0
Dell,Notebook,17.3,8,2.8,1,Intel Core i5,128.0,AMD,Windows,52161.0
